"Group","Group Index","Discriminant","Name","Type","Default","Description"
,,,"Hit_On_High","Boolean","False","If set, the switch is considered to be hit when the related signal is high."
"Homing","Axis","Double_Tap","Switch","Input_Switch_Name","Input_Switch_Name’First","The switch used for homing this axis."
,,,"First_Move_Distance","Length","0.0 * mm","The minimum length of the first move, may be negative to home towards negative infinity. The axis will first move twice this far away from the homing direction iff the switch is hit. The axis will then move at least this far in total, and no further than this far after the switch is hit. The axis will then move twice this far away from the switch before the second move."
,,,"First_Move_Limits","Motion_Planner.Kinematic_Limits","(Tangential_Velocity_Max => 0.0 * mm / s, Acceleration_Max => 0.0 * mm / s**2, Jerk_Max => 0.0 * mm / s**3, Snap_Max => 0.0 * mm / s**4, Crackle_Max => 0.0 * mm / s**5, Chord_Error_Max => 0.0 * mm)","The motion profile limits for the first move."
,,,"Second_Move_Distance","Length","0.0 * mm","The minimum length of the second move, may be negative to home towards negative infinity, must be the same sign as the first distance. The axis will move at least this far in total, and no further than this far after the switch is hit."
,,,"Second_Move_Limits","Motion_Planner.Kinematic_Limits","(Tangential_Velocity_Max => 0.0 * mm / s, Acceleration_Max => 0.0 * mm / s**2, Jerk_Max => 0.0 * mm / s**3, Snap_Max => 0.0 * mm / s**4, Crackle_Max => 0.0 * mm / s**5, Chord_Error_Max => 0.0 * mm)","The motion profile limits for the second move."
,,,"Switch_Position","Length","0.0 * mm","The position that the axis is considered to be at when the switch is hit during the second move."
,,"Set_To_Value","Value","Length","0.0 * mm","The value the axis is assumed to be at when the axis is homed. No homing move will occur in this mode."
"Extruder","null","null","Nozzle_Diameter","Length","0.4 * mm","The diameter of the nozzle."
,,,"Filament_Diameter","Length","1.75 * mm","The diameter of the filament."
,,,"Starting_Pressure_Advance_Time","Time","0.0 * s","The initial pressure advance time before a value is set by g-code. There is no equivalent of smoothing time as used by other motion controllers as the use of crackle-limited motion planning prevents the discontinuity in velocity that would otherwise be present. There is instead a discontinuity in snap."
"Thermistor","Thermistor","null","Enabled","Boolean","False","If set, marks the thermistor as enabled so it may be used by a heater."
,,,"Minimum_Temperature","Temperature","0.0 * celcius","Any temperature below this value indicates a failure."
,,,"Maximum_Temperature","Temperature","0.0 * celcius","Any temperature above this value indicates a failure."
"Heater","Heater","null","Thermistor","Thermistor_Name","Thermistor_Name’First","Thermistor associated with this heater."
,,"Disabled","null",,,
,,"PID","Proportional_Scale","Dimensionless","0.0","Coefficient for the proportional term."
,,,"Integral_Scale","Dimensionless","0.0","Coefficient for the integral term."
,,,"Derivative_Scale","Dimensionless","0.0","Coefficient for the derivative term."
,,"Bang_Bang","Max_Delta","Temperature","2.0 * celcius","Maximum temperature below or above the target temperature where the heater will be switched on or off respectively."
"Bed_Mesh","null","No_Mesh","null",,,
,,"Beacon","Serial_Port_Path","Path_Strings.Bounded_String","Path_Strings.To_Bounded_String ("""")","Path to the Beacon serial port."
,,,"X_Offset","Length","0.0 * mm","Offset along the X axis of the probe to the nozzle."
,,,"Y_Offset","Length","0.0 * mm","Offset along the Y axis of the probe to the nozzle."
,,,"Calibration_Floor","Length","0.2 * mm","Z axis value to use for lowest calibration point."
,,,"Calibration_Ceiling","Length","5.0 * mm","Z axis value to use for highest calibration point."
,,,"Calibration_Limits","Motion_Planner.Kinematic_Limits","(Tangential_Velocity_Max => 1.0 * mm / s, Acceleration_Max => 1.0E2 * mm / s**2, Jerk_Max => 1.0E4 * mm / s**3, Snap_Max => 1.0E6 * mm / s**4, Crackle_Max => 1.0E8 * mm / s**5, Chord_Error_Max => 0.0 * mm)","Motion profile limits to use during calibration. If using a scaler for the Z axis, you should increase this value to have a real velocity of around 1 mm/s."
"Fan","Fan","Disabled","null",,,
,,"Dynamic_PWM","Disable_Below_PWM","PWM_Scale","0.5","Any set PWM ratio below this value will shut off power to the fan."
,,,"Max_PWM","PWM_Scale","1.0","The maximum PWM ratio of the fan, corresponding to 100% power setting in g-code or the UI."
,,,"Fixed_Voltage","Voltage","6.0 * volt","The constant voltage to output."
,,"Dynamic_Voltage","Disable_Below_Voltage","Voltage","5.0 * volt","Any set voltage below this voltage will shut off power to the fan."
,,,"Max_Voltage","Voltage","6.0 * volt","The full scale voltage of the fan, corresponding to 100% power setting in g-code or the UI."
,,"Always_On","Always_On_PWM","PWM_Scale","1.0","The constant PWM ratio to output."
,,,"Always_On_Voltage","Voltage","6.0 * volt","The constant voltage to output."
"G_Code_Assignment","null","null","Bed_Heater","Heater_Name","Heater_Name’First","The heater assigned to the bed in g-code."
,,,"Chamber_Heater","Heater_Name","Heater_Name’First","The heater assigned to the chamber in g-code."
,,,"Hotend_Heater","Heater_Name","Heater_Name’First","The heater assigned to the hotend in g-code."
